,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,公休,特殊休,ハ,ト,F
統括,公休,公休,F,公休,F,F,ト,特殊休,ト,ト,F,ト,特殊休,特殊休,ハ,F,ト,F,公休,F,特殊休,F,F,ト,ハ,特殊休,公休,ト,ト,ハ,公休,6,5,3,8,9
副部長A,公休,F,特殊休,F,F,F,公休,F,F,F,F,公休,F,F,F,F,公休,F,F,公休,特殊休,F,F,公休,ハ,F,特殊休,F,F,F,F,6,3,1,0,21
副部長B,ハ,F,F,特殊休,ハ,特殊休,ハ,ハ,ハ,ハ,公休,F,公休,公休,ハ,特殊休,ハ,ハ,ハ,公休,ハ,ハ,ハ,F,公休,ハ,F,公休,ハ,ハ,ト,6,3,16,1,5
副部長C,F,ト,ト,ハ,特殊休,ハ,F,F,ト,公休,ト,ハ,ハ,ハ,特殊休,ト,ト,公休,公休,ハ,F,公休,ト,ハ,F,F,特殊休,公休,ハ,公休,ト,6,3,8,8,6
副部長D,F,ハ,ハ,ト,公休,公休,特殊休,ハ,F,ト,ハ,公休,ト,公休,公休,ハ,F,特殊休,ト,F,ト,公休,ハ,F,特殊休,特殊休,ハ,ハ,F,特殊休,ハ,6,5,9,5,6
部員A,F,特殊休,特殊休,ト,公休,ト,F,ト,特殊休,F,公休,F,F,公休,公休,特殊休,F,ト,ト,特殊休,ハ,ハ,F,F,公休,ハ,F,F,公休,F,F,6,5,3,5,12
部員B,特殊休,F,公休,F,公休,ト,ハ,F,F,特殊休,公休,ト,ト,F,特殊休,特殊休,F,ト,ハ,F,特殊休,ト,F,公休,ト,公休,公休,ト,F,F,F,6,5,2,7,11
部員C,ハ,特殊休,公休,ハ,ハ,F,ト,特殊休,公休,ハ,公休,公休,F,ト,ト,ハ,公休,ハ,特殊休,ト,F,ト,ト,特殊休,F,ト,ト,特殊休,公休,ト,ハ,6,5,7,9,4
臨時・派遣A,ト,ト,ト,特殊休,ト,ハ,公休,ト,特殊休,公休,ト,公休,ト,F,ト,ト,特殊休,F,F,特殊休,ト,F,公休,公休,公休,ト,ト,特殊休,ト,ト,F,6,5,1,14,5
臨時・派遣B,ト,ハ,ハ,公休,ト,F,公休,ト,公休,F,特殊休,特殊休,ハ,ト,F,F,特殊休,公休,F,ト,F,公休,特殊休,ト,ト,F,公休,ハ,ト,ト,F,6,4,4,9,8
臨時・派遣C,公休,特殊休,ハ,ハ,ハ,ハ,特殊休,ハ,ハ,公休,ハ,ハ,ハ,ハ,公休,公休,ハ,ハ,ハ,ハ,公休,特殊休,特殊休,ハ,公休,ハ,ハ,ハ,ハ,特殊休,ハ,6,5,20,0,0
公休,3,1,2,2,3,1,3,0,2,3,4,4,1,3,3,1,2,2,2,2,1,3,1,3,4,1,3,2,2,1,1,0,0,0,0,0
特殊休,1,3,2,2,1,1,2,2,2,1,1,1,1,1,2,3,2,1,1,2,3,1,2,1,1,2,2,2,0,2,0,0,0,0,0,0
ハ,2,2,3,3,3,3,2,3,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2,3,2,3,3,2,3,0,0,0,0,0
ト,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,0,0,0,0,0
F,3,3,2,2,2,4,2,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,4,3,2,3,2,2,3,3,5,0,0,0,0,0
