,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,公休,特殊休,ロ,ハ,ホ,A,H,J,L
臨時・派遣A,L,L,公休,ロ,ロ,A,J,公休,ホ,H,L,公休,公休,ロ,L,ホ,特殊休,J,L,H,公休,公休,L,特殊休,ロ,L,L,J,特殊休,ホ,L,6,3,4,0,3,1,2,3,9
臨時・派遣B,A,J,公休,J,L,公休,公休,ロ,公休,L,A,L,L,公休,J,J,L,公休,特殊休,A,J,特殊休,ホ,A,L,J,J,特殊休,J,L,H,6,3,1,0,1,4,1,8,7
臨時・派遣C,J,ホ,H,L,公休,J,J,L,L,特殊休,J,J,J,J,公休,L,A,公休,J,特殊休,L,L,公休,L,J,H,特殊休,ロ,公休,特殊休,公休,6,4,1,0,1,1,2,9,7
臨時・派遣D,ハ,ハ,L,公休,J,L,L,J,J,公休,特殊休,公休,A,L,特殊休,ハ,H,L,特殊休,L,特殊休,J,J,H,公休,公休,ロ,L,L,J,公休,6,4,1,3,0,1,2,6,8
臨時・派遣E,ロ,公休,A,ロ,公休,ロ,ロ,公休,ハ,A,ロ,ロ,ロ,特殊休,ロ,公休,特殊休,ロ,ロ,公休,ロ,ロ,ハ,公休,A,ロ,特殊休,A,ロ,ハ,A,6,3,14,3,0,5,0,0,0
公休,0,1,2,1,2,1,1,2,1,1,0,2,1,1,1,1,0,2,0,1,1,1,1,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
特殊休,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,2,1,1,1,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0
ロ,1,0,0,2,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ハ,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ホ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
H,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
J,1,1,0,1,1,1,2,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
